window,seed,arm,stratum,n,macro_f1,balanced_accuracy,accuracy
1,42,majority,has_news,284,0.143646408839779,0.3333333333333333,0.2746478873239437
1,42,majority,no_news,316,0.14392059553349876,0.3333333333333333,0.27531645569620256
1,43,majority,has_news,284,0.143646408839779,0.3333333333333333,0.2746478873239437
1,43,majority,no_news,316,0.14392059553349876,0.3333333333333333,0.27531645569620256
1,44,majority,has_news,284,0.143646408839779,0.3333333333333333,0.2746478873239437
1,44,majority,no_news,316,0.14392059553349876,0.3333333333333333,0.27531645569620256
1,42,random,has_news,284,0.35885565860106955,0.3860551532965326,0.3626760563380282
1,42,random,no_news,316,0.3015935416712808,0.31350690116788993,0.31645569620253167
1,43,random,has_news,284,0.28108980966123825,0.2874061063716236,0.2992957746478873
1,43,random,no_news,316,0.3326513213981244,0.3476258619590568,0.3449367088607595
1,44,random,has_news,284,0.3186137932201114,0.3321404959335994,0.33098591549295775
1,44,random,no_news,316,0.3395470409912576,0.35602068921553753,0.3512658227848101
1,42,logreg_price,has_news,284,0.275989891507464,0.3168785496371703,0.45774647887323944
1,42,logreg_price,no_news,316,0.31293196137343365,0.3548435669333052,0.5126582278481012
1,43,logreg_price,has_news,284,0.275989891507464,0.3168785496371703,0.45774647887323944
1,43,logreg_price,no_news,316,0.31293196137343365,0.3548435669333052,0.5126582278481012
1,44,logreg_price,has_news,284,0.275989891507464,0.3168785496371703,0.45774647887323944
1,44,logreg_price,no_news,316,0.31293196137343365,0.3548435669333052,0.5126582278481012
1,42,logreg_price_sentiment,has_news,284,0.3319479062861203,0.34942767701388394,0.45774647887323944
1,42,logreg_price_sentiment,no_news,316,0.339335726152937,0.3710803806358438,0.5221518987341772
1,43,logreg_price_sentiment,has_news,284,0.3319479062861203,0.34942767701388394,0.45774647887323944
1,43,logreg_price_sentiment,no_news,316,0.339335726152937,0.3710803806358438,0.5221518987341772
1,44,logreg_price_sentiment,has_news,284,0.3319479062861203,0.34942767701388394,0.45774647887323944
1,44,logreg_price_sentiment,no_news,316,0.339335726152937,0.3710803806358438,0.5221518987341772
1,42,lstm_price,has_news,284,0.33433429660342595,0.3624752073027935,0.5
1,42,lstm_price,no_news,316,0.3616129150771105,0.38110845132033333,0.5189873417721519
1,43,lstm_price,has_news,284,0.35365474565474564,0.3597669287324459,0.4471830985915493
1,43,lstm_price,no_news,316,0.38776695556177626,0.3971540238677754,0.5126582278481012
1,44,lstm_price,has_news,284,0.35607999930766504,0.36946893843445566,0.47183098591549294
1,44,lstm_price,no_news,316,0.37538577417468605,0.3933281016787456,0.5158227848101266
1,42,lstm_price_sentiment,has_news,284,0.29195904153022506,0.32037541520300145,0.44366197183098594
1,42,lstm_price_sentiment,no_news,316,0.3285899935022742,0.3615875653682052,0.5031645569620253
1,43,lstm_price_sentiment,has_news,284,0.3193839710641538,0.34258728224245466,0.44014084507042256
1,43,lstm_price_sentiment,no_news,316,0.3667729160629769,0.3800060669607824,0.5063291139240507
1,44,lstm_price_sentiment,has_news,284,0.30389399530282285,0.30827777379501514,0.3908450704225352
1,44,lstm_price_sentiment,no_news,316,0.367625699322754,0.3728685953447067,0.47151898734177217
1,42,tft_price,has_news,284,0.3033203670355335,0.3122326570602433,0.4119718309859155
1,42,tft_price,no_news,316,0.3205243378972193,0.3305372557553696,0.4272151898734177
1,43,tft_price,has_news,284,0.3247186412932269,0.348583331341952,0.4788732394366197
1,43,tft_price,no_news,316,0.3477855477855478,0.37363026270379823,0.5158227848101266
1,44,tft_price,has_news,284,0.32044072948328267,0.35152858428720496,0.49295774647887325
1,44,tft_price,no_news,316,0.2970636326748703,0.34371311188926473,0.5031645569620253
1,42,tft_price_sentiment,has_news,284,0.3894867089311534,0.39201734891390067,0.4823943661971831
1,42,tft_price_sentiment,no_news,316,0.35305946039755964,0.37471616075687536,0.509493670886076
1,43,tft_price_sentiment,has_news,284,0.349141380830309,0.34945555635210807,0.41901408450704225
1,43,tft_price_sentiment,no_news,316,0.30641644729404544,0.34516720412025775,0.49683544303797467
1,44,tft_price_sentiment,has_news,284,0.34199052932331386,0.3586696776351949,0.4612676056338028
1,44,tft_price_sentiment,no_news,316,0.3346691655578627,0.36505628425030173,0.5126582278481012
2,42,majority,has_news,313,0.14369256474519632,0.3333333333333333,0.2747603833865815
2,42,majority,no_news,287,0.1509433962264151,0.3333333333333333,0.2926829268292683
2,43,majority,has_news,313,0.14369256474519632,0.3333333333333333,0.2747603833865815
2,43,majority,no_news,287,0.1509433962264151,0.3333333333333333,0.2926829268292683
2,44,majority,has_news,313,0.14369256474519632,0.3333333333333333,0.2747603833865815
2,44,majority,no_news,287,0.1509433962264151,0.3333333333333333,0.2926829268292683
2,42,random,has_news,313,0.3057831820718419,0.30390515275877794,0.30990415335463256
2,42,random,no_news,287,0.3602484883920735,0.3662184759571448,0.3623693379790941
2,43,random,has_news,313,0.33377994676131323,0.3361222070223438,0.3354632587859425
2,43,random,no_news,287,0.3224691069327624,0.32234569341551783,0.3310104529616725
2,44,random,has_news,313,0.33704671040983597,0.33938349293205655,0.33865814696485624
2,44,random,no_news,287,0.36523369067118644,0.37811837679130456,0.36585365853658536
2,42,logreg_price,has_news,313,0.40347045261497394,0.4211466788265694,0.45686900958466453
2,42,logreg_price,no_news,287,0.35681251512547757,0.38444911107222257,0.445993031358885
2,43,logreg_price,has_news,313,0.40347045261497394,0.4211466788265694,0.45686900958466453
2,43,logreg_price,no_news,287,0.35681251512547757,0.38444911107222257,0.445993031358885
2,44,logreg_price,has_news,313,0.40347045261497394,0.4211466788265694,0.45686900958466453
2,44,logreg_price,no_news,287,0.35681251512547757,0.38444911107222257,0.445993031358885
2,42,logreg_price_sentiment,has_news,313,0.4257760670680651,0.4322383340933273,0.46006389776357826
2,42,logreg_price_sentiment,no_news,287,0.3746587778845843,0.39904204501999524,0.45993031358885017
2,43,logreg_price_sentiment,has_news,313,0.4257760670680651,0.4322383340933273,0.46006389776357826
2,43,logreg_price_sentiment,no_news,287,0.3746587778845843,0.39904204501999524,0.45993031358885017
2,44,logreg_price_sentiment,has_news,313,0.4257760670680651,0.4322383340933273,0.46006389776357826
2,44,logreg_price_sentiment,no_news,287,0.3746587778845843,0.39904204501999524,0.45993031358885017
2,42,lstm_price,has_news,313,0.37002688172043,0.378109135126919,0.3929712460063898
2,42,lstm_price,no_news,287,0.42515447778605675,0.42884364852515117,0.47038327526132406
2,43,lstm_price,has_news,313,0.38651063468936225,0.39349445204438366,0.41214057507987223
2,43,lstm_price,no_news,287,0.3896999839003315,0.3998100941751412,0.445993031358885
2,44,lstm_price,has_news,313,0.4063964125634536,0.4127557379540964,0.43450479233226835
2,44,lstm_price,no_news,287,0.39906750013386966,0.41197087246495173,0.4634146341463415
2,42,lstm_price_sentiment,has_news,313,0.42182585347142304,0.42297127222982217,0.43450479233226835
2,42,lstm_price_sentiment,no_news,287,0.42653061224489797,0.43009456402678126,0.4634146341463415
2,43,lstm_price_sentiment,has_news,313,0.36379541746371924,0.37602796777625774,0.4057507987220447
2,43,lstm_price_sentiment,no_news,287,0.38528094046544537,0.41601852391970806,0.47038327526132406
2,44,lstm_price_sentiment,has_news,313,0.4081337364028628,0.41211430308557534,0.43450479233226835
2,44,lstm_price_sentiment,no_news,287,0.42794777641778864,0.4327875971403942,0.4738675958188153
2,42,tft_price,has_news,313,0.40337314058244295,0.4270904392764858,0.4472843450479233
2,42,tft_price,no_news,287,0.40814867383254966,0.42747444697220116,0.4878048780487805
2,43,tft_price,has_news,313,0.33632408459994667,0.3703863809089527,0.3961661341853035
2,43,tft_price,no_news,287,0.3362526959743637,0.3872960780882382,0.42160278745644597
2,44,tft_price,has_news,313,0.3727083590821077,0.3891491108071135,0.402555910543131
2,44,tft_price,no_news,287,0.3794365243876645,0.4043341305489121,0.4564459930313589
2,42,tft_price_sentiment,has_news,313,0.32415922284343335,0.3556808025535796,0.3706070287539936
2,42,tft_price_sentiment,no_news,287,0.39023566601090165,0.41610764354741486,0.4529616724738676
2,43,tft_price_sentiment,has_news,313,0.34067632850241547,0.35978051375589,0.3610223642172524
2,43,tft_price_sentiment,no_news,287,0.37978780421110203,0.37726606907905397,0.40418118466898956
2,44,tft_price_sentiment,has_news,313,0.37434857905345936,0.3739382884936921,0.3865814696485623
2,44,tft_price_sentiment,no_news,287,0.39268253197344993,0.39927861712263507,0.43902439024390244
3,42,majority,has_news,299,0.12054794520547946,0.3333333333333333,0.22073578595317725
3,42,majority,no_news,301,0.14409722222222224,0.3333333333333333,0.2757475083056478
3,43,majority,has_news,299,0.12054794520547946,0.3333333333333333,0.22073578595317725
